"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"165","51","644","654","886","2185","","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-20","1"
"166","51","644","654","844","2188","","","monthly","0","0","0","0","150000","139000","150000","11000","2018-06-20","0"
"167","51","644","654","1049","2212","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-20","1"
"168","51","644","654","1050","2176","instant-booking","","monthly","0","0","0","0","150000","132500","150000","17500","2018-06-20","1"
"169","51","644","654","1051","2194","instant-booking","","monthly","0","0","0","0","138000","126505","138000","11495","2018-06-20","1"
"170","51","644","654","875","2180","instant-booking","","monthly","0","0","0","0","138000","138000","138000","0","2018-06-20","1"
"171","51","644","654","1052","2195","instant-booking","","monthly","0","0","0","0","14000","0","14000","14000","2018-06-20","1"
"172","51","644","654","1053","2171","instant-booking","","monthly","0","0","0","0","14000","-7000","14000","21000","2018-06-21","1"
"173","51","644","654","1054","2207","instant-booking","","monthly","0","0","28500","0","14000","0","14000","14000","2018-06-30","1"
"174","51","644","654","1055","2175","instant-booking","","monthly","0","0","0","0","150000","129550","150000","20450","2018-06-21","1"
"175","51","644","654","1056","2174","instant-booking","","monthly","0","0","0","0","150000","129550","150000","20450","2018-06-21","1"
"176","51","644","654","1057","2169","instant-booking","","monthly","0","0","0","0","138000","129000","138000","9000","2018-06-21","1"
"177","51","644","654","1058","2203","instant-booking","","monthly","0","0","0","0","150000","137500","150000","12500","2018-06-21","1"
"178","51","644","654","1059","2187","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-21","0"
"179","51","644","654","1060","2183","instant-booking","","monthly","0","0","0","0","14000","14000","14000","0","2018-06-21","1"
"180","51","644","654","1061","2186","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-21","0"
"181","51","644","654","1062","2206","instant-booking","","monthly","0","0","0","0","138000","135000","138000","3000","2018-06-21","0"
"182","51","644","654","1063","2172","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-21","0"
"183","51","644","654","1064","2208","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-21","1"
"184","51","644","654","1066","2178","instant-booking","","","0","0","0","0","150000","133000","150000","17000","2018-06-21","0"
"185","51","644","654","1067","2179","instant-booking","","monthly","0","0","0","0","150000","133000","150000","17000","2018-06-21","0"
"186","51","644","654","842","2191","instant-booking","","monthly","0","0","0","0","150000","139500","150000","10500","2018-06-21","1"
"187","51","644","654","1068","2190","instant-booking","","monthly","0","0","0","0","150000","150000","150000","0","2018-06-21","1"
"188","75","512","0","437","3398","pre-booking","","half-yearly","5000","500","0","0","0","5500","5500","0","2018-06-21","1"
"189","16","512","0","1075","957","pre-booking","","half-yearly","5000","500","0","0","156000","161500","161500","0","2018-06-21","1"
"190","16","512","0","312","946","pre-booking","","half-yearly","5000","500","0","0","156000","89500","161500","72000","2018-06-21","1"
"191","16","512","0","1073","1047","instant-booking","","half-yearly","5000","500","0","0","150000","150000","155500","5500","2018-06-21","1"
"192","16","512","0","1076","958","instant-booking","","half-yearly","5000","500","0","0","150000","63600","155500","91900","2018-06-21","1"
"193","16","512","0","1077","966","instant-booking","","half-yearly","5000","500","0","0","150000","80500","155500","75000","2018-06-21","0"
"194","16","512","0","1079","975","pre-booking","","half-yearly","5000","500","0","0","150000","155500","155500","0","2018-06-21","0"
"195","16","512","0","1072","1046","instant-booking","","half-yearly","5000","500","0","0","150000","78000","155500","77500","2018-06-21","1"
"196","35","647","963","1037","1718","instant-booking","","monthly","0","500","5800","0","69600","70100","70100","0","2018-06-21","1"
"197","35","647","963","1041","1708","instant-booking","","monthly","0","500","5500 ","300 ","69600","58600","70100","11500","2018-06-21","1"
"198","1","512","3","141","43","","","","0","0","0","0","216000","216000","216000","0","2018-06-21","0"
"199","13","512","0","212","861","pre-booking","","half-yearly","5000","500","0","0","168000","173000","173500","500","2018-06-21","1"
"200","13","512","0","31","862","pre-booking","","half-yearly","5000","500","0","0","168000","73500","173500","100000","2018-06-21","1"
"201","13","512","0","245","864","pre-booking","","half-yearly","5000","500","0","0","204000","59500","209500","150000","2018-06-21","1"
"202","13","512","0","221","865","pre-booking","","half-yearly","5000","500","0","0","204000","209500","209500","0","2018-06-21","1"
